,mAP@50-95,mAP@50,mAP@75,mAR@1,mAR@10,mAR@100,Precision,Recall,F1 Score
RetinaNet (Teacher),0.94,0.98,0.96,0.63,0.96,0.96,0.93,0.99,0.96
FCOS (Teacher),0.96,0.98,0.97,0.63,0.97,0.97,0.81,0.99,0.89
Faster R-CNN (Teacher),0.96,0.99,0.98,0.63,0.98,0.98,0.99,0.99,0.99
SSD (Teacher),0.78,0.96,0.94,0.54,0.81,0.81,0.65,0.99,0.79
SSDLite (Teacher),0.61,0.73,0.72,0.48,0.63,0.63,0.02,0.99,0.03
