,mAP@50-95,mAP@50,mAP@75,mAR@1,mAR@10,mAR@100,Precision,Recall,F1 Score
RetinaNet (Teacher),0.9,0.95,0.94,0.34,0.83,0.91,0.41,0.98,0.58
FCOS (Teacher),0.89,0.94,0.93,0.34,0.82,0.9,0.97,0.96,0.96
Faster R-CNN (Teacher),0.96,0.99,0.98,0.35,0.87,0.97,0.96,0.99,0.98
SSD (Teacher),0.49,0.62,0.59,0.27,0.51,0.51,0.16,0.97,0.27
SSDLite (Teacher),0.18,0.23,0.19,0.17,0.19,0.19,0.0,0.79,0.01
