,epoch,time_elapsed,total_time_elapsed
0,1,130.3141086101532,130.3141086101532
1,2,129.69902753829956,260.01313614845276
2,3,133.0943877696991,393.10752391815186
3,4,128.9738655090332,522.0813894271851
4,5,130.5583996772766,652.6397891044617
5,6,128.8679919242859,781.5077810287476
6,7,130.27166199684143,911.779443025589
7,8,133.37984800338745,1045.1592910289764
8,9,129.30274510383606,1174.4620361328125
9,10,130.33979845046997,1304.8018345832825
10,11,131.07898688316345,1435.880821466446
11,12,130.39658951759338,1566.2774109840393
12,13,129.53292536735535,1695.8103363513947
13,14,130.78086876869202,1826.5912051200867
14,15,126.41924357414246,1953.0104486942291
15,16,131.36196422576904,2084.372412919998
16,17,128.99788355827332,2213.3702964782715
17,18,128.20206904411316,2341.5723655223846
18,19,131.03625893592834,2472.608624458313
19,20,129.00292944908142,2601.6115539073944
20,21,132.93559312820435,2734.5471470355988
21,22,130.190274477005,2864.7374215126038
22,23,128.68313789367676,2993.4205594062805
