,epoch,time_elapsed,total_time_elapsed
0,1,287.9141891002655,287.9141891002655
1,2,217.24791145324707,505.1621005535126
2,3,223.14480471611023,728.3069052696228
3,4,259.3457181453705,987.6526234149933
4,5,259.2458610534668,1246.89848446846
5,6,239.683917760849,1486.582402229309
6,7,173.14288663864136,1659.7252888679504
7,8,193.64783120155334,1853.3731200695038
8,9,176.59803438186646,2029.9711544513702
9,10,171.2943320274353,2201.2654864788055
10,11,170.1397020816803,2371.405188560486
11,12,246.11817002296448,2617.5233585834503
12,13,249.25781202316284,2866.781170606613
13,14,249.327054977417,3116.10822558403
14,15,249.99726390838623,3366.1054894924164
15,16,249.92314624786377,3616.02863574028
16,17,248.79752826690674,3864.826164007187
17,18,250.49437642097473,4115.320540428162
18,19,259.5705375671387,4374.8910779953
19,20,263.0301990509033,4637.921277046204
20,21,268.02863597869873,4905.949913024902
21,22,261.0045886039734,5166.954501628876
22,23,261.64952969551086,5428.604031324387
23,24,263.1805651187897,5691.784596443176
24,25,263.1297216415405,5954.914318084717
25,26,262.42108130455017,6217.335399389267
26,27,259.7590274810791,6477.094426870346
27,28,262.29125714302063,6739.385684013367
28,29,262.28395414352417,7001.669638156891
29,30,262.1518828868866,7263.8215210437775
