,epoch,train_loss,val_loss,classification_train,bbox_regression_train,bbox_ctrness_train,classification_val,bbox_regression_val,bbox_ctrness_val
0,1,0.368973418504377,0.9590947876373926,0.395493951402133,0.17055808196339425,0.6026154869719397,0.26492155094941455,0.26492155094941455,0.26492155094941455
1,2,0.24811671146109135,0.920067310333252,0.17871820077865938,0.1145676003792618,0.594691428202617,0.2727449834346771,0.2727449834346771,0.2727449834346771
2,3,0.22968422347986245,0.912151833375295,0.1387515416062331,0.10380331535316721,0.5926621375204641,0.2606704955299695,0.2606704955299695,0.2606704955299695
3,4,0.22030650437632693,0.9233856350183487,0.1192613014880615,0.09676441380494757,0.5923711823511727,0.2667474423845609,0.2667474423845609,0.2667474423845609
4,5,0.21118481004539924,1.0505264699459076,0.09460070573642285,0.0895041442370113,0.5919902452939674,0.3548051416873932,0.3548051416873932,0.3548051416873932
5,6,0.20836132180087175,0.9352651735146841,0.09209254131758515,0.08990376239901857,0.5928138743473005,0.2767962192495664,0.2767962192495664,0.2767962192495664
6,7,0.20753900140901155,0.9416004021962484,0.08975246774999401,0.09263207324886624,0.5928990788097623,0.3153190265099208,0.3153190265099208,0.3153190265099208
7,8,0.19672091154358054,0.9829327513774236,0.06034793329861345,0.08203189754033391,0.5912501065036918,0.3304284264643987,0.3304284264643987,0.3304284264643987
8,9,0.19211071201517613,1.0732926080624263,0.04891305571256936,0.08068192085321946,0.5908509183533585,0.3753840774297714,0.3753840774297714,0.3753840774297714
9,10,0.19493013752412192,0.9448206871747971,0.05605971729500762,0.08232867000978204,0.5911521888986419,0.2736822192867597,0.2736822192867597,0.2736822192867597
10,11,0.1911745539194421,1.00287830332915,0.047909635696795926,0.07918625876684732,0.5907487688185293,0.29915684709946316,0.29915684709946316,0.29915684709946316
